Institution Address,Latitude,Longitude
1238 Queen St,,
122 Tyndale St,,
60 Guildowood Pky,,
2245 Lawrence Ave West,43.6968603,-79.5259239
718 Sheppard Ave,43.7543865,-79.4453762
262 St Clair Ave W,43.6855511,-79.4083719
52 McMurrich St,43.6740923,-79.3899708
1001 Queen Ave W,43.6428407,-79.4087571
1860 Lawrence Ave,43.744055,-79.3032714
2701 St Clair Ave East,43.7053205,-79.3120308
1020 Mcnicoll Ave,43.8057435,-79.3360107
66 Roncesvales Ave,,
150 Sherway Drive,43.6099866,-79.5627235
140 Humberline Dr,43.7332532,-79.6182217
3050 Lawerence Ave E,,
3593 Keele St,43.7510242,-79.4877393
1925 Steeles Ave,43.8075805,-79.374003
541 Finch Ave,43.7708866,-79.446088
555 Finch Avenue West,43.771426,-79.4472871
66 Roncessvalles Ave,,
187 Wynford Ave,,
345 Sherbourne Pl,43.6627022,-79.3724363
720 Mt. Pleasant Rd,43.7063768,-79.3898007
5 Ressurection Rd,,
150 Emmett Ave,43.6899161,-79.5016171
2881 Eglinton East Ave,43.7374195,-79.2493189
160 Wellesley St,43.6671004,-79.3753082
2920 Lawrence East Ave,,
2701 St Clair Ave,43.7053205,-79.3120308
45 Resurrection Rd,43.6439288,-79.5311995
3275 St Clair Ave E,43.7185579,-79.2519762
2701 St Claire Ave E,,
305 Billiol St,,
2881 Eglinton Ave,43.738121,-79.2398504
9 Neilson Road,43.781646,-79.2031101
2920 Lawrence Ave W,43.7056316,-79.490679
82 Buttowood Ave,,
1 Overlea Dr,43.7418132,-79.7772961
2241 Lawrence Ave E,43.74904,-79.2760249
4001 Leslie Mall,,
555 Finch Ave W,43.771426,-79.4472871
8 The Donway,43.7346103,-79.3408873
40 Playfiar Ave,,
65 Livingstone Rd,,
5 Resurrection Dr,,
2025 Finch Ave W,43.7355946,-79.5971001
1 Kenton Pl,,
305 Cummer Ave,43.7899599,-79.4033157
551 Collins Rd,,
2111 Buchan Crt,43.7732146,-79.3590418
3830 Lawren Ave E,,
2005 Lawrence Ave,43.701037,-79.510078
61 Fairfox Cres,,
2111 Finch Ave,43.7540762,-79.5263296
5 Resurection Rd,,
60 Scoffield Dr,,
4500 Eglinton Ave W,43.6713876,-79.5727486
25 Brunswick,43.6584431,-79.4038326
306 Finch Ave,43.7850168,-79.3940478
5935 Bathurst Street St,43.698493,-79.4245423
1925 Rean Dr,43.7659879,-79.3817626
2411 Lawrence Ave,43.7489351,-79.2737952
95 Humber Blvd E,,
102 Craiglee Ave,,
34 Middleport Cres,43.81547,-79.2170394
1925 Steel Ave E,,
2111 Finch W,43.7540762,-79.5263296
2045 Finch Ave,43.7560367,-79.5213903
5935 Bathrust St,,
9 Nielson Road,,
311 McNicoll Ave,43.8262064,-79.2418026
2311 Mcnicoll Ave,43.8143025,-79.2904274
170 Emmett Ave,43.6899161,-79.5016171
2075 Bayvew Ave,,
390 Millwood Rd,43.7022545,-79.3848346
